complaint_id,Complaint_type,Category_id,department_id
1,Chamber overflow,1,3
2,Animal:Dead,1,3
3,Dog problem,2,3
4,Garbage Lifting,1,3
5,Cleaning Of Public Toilet,1,3
6,Drainage Blocked,1,3
7,Street Light Problem(Non burning),1,4
8,Tree causing danger(horticulture),5,11
9,Illegal construction,1,1
10,Illegal dabba shops,1,1
11,Road cleaning,1,3
12,Road safety(Ex.Speed breakers),6,1
13,Meter complaints,3,5
14,Delayed water supply,5,5
15,No chamber cover,5,1
16,Mosquito problem,5,3
17,Road repair,6,1
18,Public aminities,6,1
19,General(pwd),5,1
20,Borewell repair,5,5
21,New Water tank / New pipeline,9,5
22,Bus stop repair,9,1
23,New street lights,9,4
24,New UGD line,9,1
25,Poor quality of work by contractors,9,1
26,Infrastructure,9,1
27,Low pressure water supply,9,5
28,Water pipeline leakage,1,5
29,General(health),1,3
30,Water pollution,1,5
31,Chamber damaged,6,1
32,General(Electrical),2,4
33,General(water),1,5
34,Drainage damaged,6,1
35,Toilet replacement,6,1
36,Illegal water pipeline connection,1,5
37,Open Plots Cleaning,2,3
38,Footpath Light Problem,1,12
39,Pigs Problem,2,3
40,T5-1 light Problem,1,4
41,T5-4Lights Problem,1,4
42,S.V.L Light problem,1,4
43,M.H.L Light problem,1,4
44,High Mast Problem.,2,4
45,Garden Cleaning,5,3
46,Genaral(Horticulture),2,4
47,Pig Dead,1,3
48,Dog Dead,1,3
49,Non Burning Street Light,1,4
50,Burning Street Light,1,4
51,Illegal Dhaba Shop,1,13
52,Banners,1,13
53,Pendals,1,13
54,Stalls,1,13
55,Vendors,1,13
56,Mini High Mast Light,2,4
57,Container Lifting,1,3
58,Nala Cleaning,5,3
59,Garden Cleaning,5,3
60,Door to Door Garbage Lifting,1,3
61,chamber shilt cleaning,1,3
62,Drainge shilt cleaning,1,3
63,Chamber Pipeline Damaged,2,3
64,Parthenium Cleaning,1,3
65,Snake Problem,1,3
66,Monkey Problem,1,3
